method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,7,provided,Self-direction: action,0.18016378525932664,0.10856172537080623,512.0,587.0,0.03514311208730867,0.04029102889697302,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Stimulation,0.2723521320495185,0.18425987840214922,371.0,356.0,0.02546502848513968,0.02443544512320681,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Hedonism,0.27272727272727276,0.159179054570467,125.0,117.0,0.008579861349440594,0.008030750223076396,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Achievement,0.3322295805739514,0.2695241852703869,911.0,901.0,0.06253002951472304,0.061843640606767794,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Power: dominance,0.3126510878323932,0.2129344684401483,631.0,610.0,0.04331114009197611,0.04186972338527009,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Power: resources,0.34617360041088857,0.27669449691665643,805.0,1142.0,0.05525430709039742,0.07838561328848925,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Face,0.14285714285714285,0.08504487263353373,267.0,237.0,0.018326583842405108,0.016267417118539365,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Security: personal,0.28612716763005774,0.20138137479536986,352.0,340.0,0.02416088956002471,0.023337222870478413,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Security: societal,0.4078624078624079,0.35434226928644114,1151.0,1291.0,0.07900336330564899,0.08861280801702244,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Tradition,0.469437652811736,0.40909379306534105,196.0,213.0,0.01345322259592285,0.01462008373944677,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Conformity: rules,0.40250260688216893,0.34455520113621885,911.0,1007.0,0.06253002951472304,0.06911936303109342,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Conformity: interpersonal,0.08653846153846155,0.04502929082540277,195.0,221.0,0.013384583705127325,0.015169194865810968,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Humility,0.048,0.029428828948082474,30.0,95.0,0.0020591667238657424,0.006520694625574851,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Benevolence: caring,0.18348623853211007,0.09677088189611469,324.0,657.0,0.022239000617750016,0.04509575125265976,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Benevolence: dependability,0.23357664233576642,0.16114858435878746,288.0,260.0,0.019768000549111125,0.017846111606836433,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Universalism: concern,0.35352815395580894,0.30278132127289054,735.0,668.0,0.05044958473471069,0.04585077905141053,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Universalism: nature,0.5289017341040462,0.4783070410079562,293.0,399.0,0.02011119500308875,0.02738691742741437,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Universalism: tolerance,0.17629179331306988,0.12510599439728257,171.0,158.0,0.011737250326034732,0.010844944745692909,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Self-direction: thought,0.1001517450682853,0.04986236748853719,171.0,488.0,0.011737250326034732,0.03349577870821607,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Self-direction: action,0.20183486238532108,0.12832662954784996,512.0,796.0,0.03514311208730867,0.054636557073237696,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Stimulation,0.23401360544217686,0.1815506862038601,371.0,364.0,0.02546502848513968,0.024984556249571008,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Hedonism,0.314410480349345,0.21993371306599566,125.0,104.0,0.008579861349440594,0.007138444642734574,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Achievement,0.3642857142857143,0.32565212320359865,911.0,1049.0,0.06253002951472304,0.07200219644450545,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Power: dominance,0.37588197562540093,0.27194958903246297,631.0,928.0,0.04331114009197611,0.06369689065824696,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Power: resources,0.40112728980742135,0.34462826647472505,805.0,1324.0,0.05525430709039742,0.09087789141327476,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Face,0.23487544483985767,0.1656133324776444,267.0,295.0,0.018326583842405108,0.0202484727846798,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Security: personal,0.33281493001555207,0.2843909213104545,352.0,291.0,0.02416088956002471,0.0199739172214977,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Security: societal,0.4296636085626912,0.39251897377038936,1151.0,1465.0,0.07900336330564899,0.10055597501544375,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Tradition,0.45125348189415043,0.40613307722185404,196.0,163.0,0.01345322259592285,0.011188139199670533,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Conformity: rules,0.43462739848282017,0.40971239336171833,911.0,1330.0,0.06253002951472304,0.0912897247580479,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Conformity: interpersonal,0.10560000000000001,0.06515929360003363,195.0,430.0,0.013384583705127325,0.02951472304207564,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
