comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,micro_f1,True,0.2730267336123114,0.3368865720890124,-0.06385983847670101,-0.07291113439041669,-0.05513726516371448,-0.06385983847670101,-0.07291113439041669,-0.05513726516371448,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,opposite_error_rate,False,0.5214343667030334,0.5153728127479553,0.006061553955078125,-0.005729813873767853,0.01728020459413528,-0.006061553955078125,-0.01728020459413528,0.005729813873767853,0.347,14569,2000,42,False
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,decoder_geometry_cost,False,0.5757443684383586,0.551401591090652,0.024342777347706623,7.739318185092112e-05,0.04388411685747623,-0.024342777347706623,-0.04388411685747623,-7.739318185092112e-05,0.049,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,macro_f1,True,0.2395924129005671,0.2937666603385357,-0.054174247437968615,-0.06410946242307858,-0.0435292586342797,-0.054174247437968615,-0.06410946242307858,-0.0435292586342797,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,micro_f1,True,0.2643078796457636,0.34340546389320065,-0.07909758424743707,-0.08723172733642283,-0.07103250963699245,-0.07909758424743707,-0.08723172733642283,-0.07103250963699245,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,opposite_error_rate,False,0.5321758389472961,0.4932597279548645,0.03891611099243164,0.027556023001670836,0.051102107018232326,-0.03891611099243164,-0.051102107018232326,-0.027556023001670836,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,decoder_geometry_cost,False,0.5633430836399489,0.5568815781079066,0.006461505532042278,-0.016482934864192274,0.025353180354297695,-0.006461505532042278,-0.025353180354297695,0.016482934864192274,0.623,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,macro_f1,True,0.24295939842614378,0.2937666603385357,-0.05080726191239193,-0.06198535479026749,-0.039381989862760876,-0.05080726191239193,-0.06198535479026749,-0.039381989862760876,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,micro_f1,True,0.2730267336123114,0.34340546389320065,-0.07037873028088926,-0.07929290862077566,-0.061858181964193196,-0.07037873028088926,-0.07929290862077566,-0.061858181964193196,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,opposite_error_rate,False,0.5214343667030334,0.4932597279548645,0.028174638748168945,0.015843208879232407,0.04040675461292267,-0.028174638748168945,-0.04040675461292267,-0.015843208879232407,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1701,llm,bce_thresholding,1701.0,decoder_geometry_cost,False,0.5757443684383586,0.5568815781079066,0.018862790330452017,-0.00413938813647561,0.038656002664780406,-0.018862790330452017,-0.038656002664780406,0.00413938813647561,0.102,14569,2000,42,False
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,macro_f1,True,0.2395924129005671,0.2945307305601217,-0.05493831765955459,-0.06499394372561623,-0.044387207035432814,-0.05493831765955459,-0.06499394372561623,-0.044387207035432814,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,micro_f1,True,0.2643078796457636,0.34450985779239784,-0.08020197814663427,-0.08853170772486559,-0.07200740369598733,-0.08020197814663427,-0.08853170772486559,-0.07200740369598733,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,opposite_error_rate,False,0.5321758389472961,0.4904928207397461,0.04168301820755005,0.030212875455617905,0.05405212342739105,-0.04168301820755005,-0.05405212342739105,-0.030212875455617905,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,decoder_geometry_cost,False,0.5633430836399489,0.5416058949041711,0.02173718873577779,-0.0011904854109947597,0.04088836623141957,-0.02173718873577779,-0.04088836623141957,0.0011904854109947597,0.062,14569,2000,42,False
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,macro_f1,True,0.24295939842614378,0.2945307305601217,-0.05157133213397791,-0.06282446238541801,-0.039867695241975684,-0.05157133213397791,-0.06282446238541801,-0.039867695241975684,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,micro_f1,True,0.2730267336123114,0.34450985779239784,-0.07148312418008645,-0.08028914645663775,-0.06261648440413334,-0.07148312418008645,-0.08028914645663775,-0.06261648440413334,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,opposite_error_rate,False,0.5214343667030334,0.4904928207397461,0.030941545963287354,0.018969815969467164,0.04385401755571365,-0.030941545963287354,-0.04385401755571365,-0.018969815969467164,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1701,llm,schwartz_decoder,1701.0,decoder_geometry_cost,False,0.5757443684383586,0.5416058949041711,0.03413847353418753,0.010984753611347788,0.053906804053016635,-0.03413847353418753,-0.053906804053016635,-0.010984753611347788,0.003,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,macro_f1,True,0.2395924129005671,0.2871471394856549,-0.0475547265850878,-0.05841966062909287,-0.03577171033319087,-0.0475547265850878,-0.05841966062909287,-0.03577171033319087,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,micro_f1,True,0.2643078796457636,0.3364108354262211,-0.0721029557804575,-0.08043452175599419,-0.06358664465250377,-0.0721029557804575,-0.08043452175599419,-0.06358664465250377,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,opposite_error_rate,False,0.5321758389472961,0.5089738965034485,0.023201942443847656,0.012503634393215179,0.03393480181694029,-0.023201942443847656,-0.03393480181694029,-0.012503634393215179,0.0,14569,2000,42,True
